,parameter,parameter_value,train_accuracy,test_accuracy,train_confint,test_confint,avg_training_time,test_accuracies,p-value
0,hidden_neurons,10,0.6666,0.6337,"(0.665, 0.6682)","(0.6316, 0.6358)","0.0m, 10.0s","[0.6359281539916992, 0.6341317296028137, 0.6323353052139282, 0.6353293657302856, 0.6305389404296875, 0.6329341530799866, 0.6347305178642273, 0.6323353052139282, 0.6293413043022156, 0.6395209431648254]",
0,hidden_neurons,15,0.6672,0.6322,"(0.665, 0.6693)","(0.6265, 0.6379)","0.0m, 9.0s","[0.6299400925636292, 0.6239520907402039, 0.6233533024787903, 0.628742516040802, 0.6419161558151245, 0.6311377286911011, 0.6245508790016174, 0.6473053693771362, 0.6371257305145264, 0.6335329413414001]",0.6132996279689911
0,hidden_neurons,20,0.6674,0.6322,"(0.6651, 0.6697)","(0.6283, 0.636)","0.0m, 9.0s","[0.6371257305145264, 0.628742516040802, 0.6305389404296875, 0.6383233666419983, 0.6329341530799866, 0.6305389404296875, 0.6311377286911011, 0.6263473033905029, 0.6245508790016174, 0.6413173675537109]",0.18305350166730894
0,hidden_neurons,5,0.659,0.6268,"(0.6551, 0.6629)","(0.6191, 0.6345)","0.0m, 10.0s","[0.6371257305145264, 0.6143712401390076, 0.6359281539916992, 0.6161676645278931, 0.628742516040802, 0.6221556663513184, 0.6425149440765381, 0.6323353052139282, 0.628742516040802, 0.6101796627044678]",0.10787496550091556
