,parameter,parameter_value,train_accuracy,test_accuracy,train_confint,test_confint,avg_training_time,test_accuracies,p-value
0,hidden_neurons,20,0.6598,0.6194,"(0.657, 0.6627)","(0.6161, 0.6227)","0.0m, 9.0s","[0.6227545142173767, 0.6173652410507202, 0.6233533024787903, 0.6113772392272949, 0.6221556663513184, 0.6185628771781921, 0.6161676645278931, 0.6149700880050659, 0.6269460916519165, 0.6203593015670776]",
0,hidden_neurons,15,0.6553,0.6187,"(0.6534, 0.6573)","(0.6158, 0.6217)","0.0m, 9.0s","[0.6221556663513184, 0.6179640889167786, 0.6107784509658813, 0.6233533024787903, 0.6185628771781921, 0.6161676645278931, 0.6179640889167786, 0.6185628771781921, 0.6167664527893066, 0.6251497268676758]",0.7772185860006599
0,hidden_neurons,10,0.6531,0.6172,"(0.6494, 0.6569)","(0.6137, 0.6207)","0.0m, 9.0s","[0.6173652410507202, 0.613772451877594, 0.6143712401390076, 0.6203593015670776, 0.6155688762664795, 0.6269460916519165, 0.6179640889167786, 0.6083832383155823, 0.6173652410507202, 0.6203593015670776]",0.3382712788099334
0,hidden_neurons,5,0.643,0.6084,"(0.6351, 0.651)","(0.6016, 0.6151)","0.0m, 10.0s","[0.5850299596786499, 0.613772451877594, 0.6185628771781921, 0.6101796627044678, 0.6065868139266968, 0.6149700880050659, 0.6017963886260986, 0.6095808148384094, 0.6101796627044678, 0.6131736636161804]",0.010913483454433935
