,parameter,parameter_value,train_accuracy,test_accuracy,train_confint,test_confint,avg_training_time,test_accuracies,p-value
0,hidden_layers,2,0.6326,0.604,"(0.6257, 0.6395)","(0.5988, 0.6091)","0.0m, 9.0s","[0.6143712401390076, 0.602395236492157, 0.5922155976295471, 0.5940119624137878, 0.6005988121032715, 0.6101796627044678, 0.6077844500541687, 0.602395236492157, 0.6107784509658813, 0.6047903895378113]",
0,hidden_layers,1,0.6374,0.602,"(0.6324, 0.6425)","(0.5963, 0.6078)","0.0m, 9.0s","[0.598802387714386, 0.602395236492157, 0.5970059633255005, 0.6161676645278931, 0.5928143858909607, 0.598802387714386, 0.6065868139266968, 0.6119760274887085, 0.6047903895378113, 0.5910179615020752]",0.6164891313024603
