,parameter,parameter_value,train_accuracy,test_accuracy,train_confint,test_confint,avg_training_time,test_accuracies,p-value
0,hidden_layers,2,0.6629,0.6301,"(0.6606, 0.6651)","(0.6241, 0.6361)","0.0m, 15.0s","[0.6179640889167786, 0.6281437277793884, 0.6347305178642273, 0.6413173675537109, 0.613772451877594, 0.6341317296028137, 0.6323353052139282, 0.628742516040802, 0.6341317296028137, 0.6359281539916992]",
0,hidden_layers,1,0.6611,0.6298,"(0.6562, 0.666)","(0.6261, 0.6335)","0.0m, 9.0s","[0.6311377286911011, 0.6269460916519165, 0.6371257305145264, 0.6317365169525146, 0.6221556663513184, 0.6305389404296875, 0.6305389404296875, 0.6215568780899048, 0.6365269422531128, 0.6293413043022156]",0.8770265435208694
